timestamp,user_ref,scan_ref,image_url,status_code,response_ms,merchant_name,total,fraud_score,needs_rescan,profile_matched,screen_photo_warning,gemini_error,rate_limited,error_detail
2026-04-02T13:08:40.783418,stress-94a93bd5,scan-f1063a77,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,119669,Mado JYC,22.4,80,False,True,True,False,False,
2026-04-02T13:08:41.751839,stress-cf341d1f,scan-dbac2569,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,120519,Mado JYC,22.4,70,False,True,True,False,False,
2026-04-02T13:08:42.758377,stress-4f5b2781,scan-88892ba7,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,153508,Mado JYC,22.4,50,False,True,True,False,False,
2026-04-02T13:08:43.775862,stress-47176a16,scan-6f6c7b07,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,152493,MADO JYC - Mado JYC,22.4,65,False,True,True,False,False,
2026-04-02T13:08:44.778330,stress-f1d137d2,scan-ebe49b44,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,151493,MADO JYC - Mado JYC,22.4,80,False,True,True,False,False,
2026-04-02T13:10:42.959168,stress-69f8ee5a,scan-5c4e33ae,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,96713,Mado JYC,22.4,90,False,True,True,False,False,
2026-04-02T13:11:17.484071,stress-ab7261e3,scan-0fee890b,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,100363,MADO JYC,22.4,80,False,True,True,False,False,
2026-04-02T13:10:44.597203,stress-f03f4926,scan-43713a59,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,133252,MADO,22.4,40,False,True,True,False,False,
2026-04-02T13:11:18.021047,stress-5ded7922,scan-1b35f6ff,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,99832,Mado JYC,22.4,90,False,True,True,False,False,
2026-04-02T13:43:02.903691,stress-f5dce172,scan-5dc9b5cd,https://invoicescannerstorage.blob.core.windows.net/invoicefiles/2026/04/9f5b65f3-a693-4491-b224-4e17d4030114_invoice_825603_fd914d48-29e2-4438-9917-0096311c84ad.jpg?se=2026-05-01T21%3A19%3A09Z&sp=r&sv=2026-02-06&sr=b&sig=5FMYCJGpB/TOoR0liqSNkWyfVxSsSabi3qnRQdVEgBI%3D,200,113141,MADO JYC - Mado JYC,22.4,70,False,True,True,False,False,
